Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.6,190098039.2,212254902.0,237745098.0,266666666.7,300392156.9,340000000.0,390196078.4,444901960.8,528137254.9,538423153.7,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10627600000.0,10957300000.0,11792300000.0,11838800000.0,12162100000.0
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.0,1866572954.0,2786045322.0,3671816504.0,4116699437.0,4685729739.0,5505984456.0,5748990666.0,6651226179.0,8370020196.0,10022840635.0,11225138297.0,12866524918.0,15776422673.0,19112739664.0,17613836210.0,17176781337.0,18644723861.0,17226849297.0,18178503835.0,18558343508.0,16209702864.0,16911088174.0,18168579578.0
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000.0,18000000000.0,17037037037.0,16280991736.0,14932024169.0,13972676841.0,14756846154.0,14128408566.0,15222012660.0,12138486532.0,12736856828.0,12354820144.0,14594249023.0,17827791321.0,23144351852.0,30207567317.0,36954312354.0,45277399814.0,60763483146.0,49209523810.0,57222490769.0,61757788945.0,65685102555.0,75527984234.0,78813839984.0,56454734397.0,47722657821.0,54442374373.0
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500.0,78343558.28,103216374.3,118066298.3,96905829.6,117650000.0,136300000.0,151800000.0,194750000.0,192900000.0,179250000.0,189000000.0,210900000.0,209150000.0,227850000.0,276550000.0,314900000.0,363150000.0,413050000.0,444720750.0,518239100.0,559858250.0,580863700.0,620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832072450.0,871860600.0,932551850.0,990374050.0,1057845500.0,1114222550.0,1217467600.0,1290573400.0,1368625150.0,1336957250.0,1397113450.0,1487005600.0,1573670250.0,1612573850.0,1703951050.0,1778567600.0,1820158550.0,1838000000.0
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049.0,134173373.8,155102984.6,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634899968.0,1679900032.0,1820359936.0,1867160064.0,2030749952.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,5414299000.0,5895048000.0,6109928000.0,5806378000.0,5744414000.0,5550771000.0,5537537000.0,5573710000.0,,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537.0,994044553.9,1084059815.0,908874537.0,964615698.7,1017171717.0,1095454545.0,1257615645.0,1263018491.0,2100249875.0,2404697651.0,2732083958.0,3227436282.0,3758220890.0,4421343606.0,4537487843.0,5891606676.0,5594118400.0,5422656262.0,6169481549.0,5377277407.0,3959379488.0,4347956299.0,4597615563.0,4715978868.0,4867582620.0,5343274312.0,5643893347.0,5734676561.0,5981244887.0,6715220507.0,7396966657.0,7925673448.0,8497545598.0,8285075872.0,8397912509.0,8141537938.0,7905485077.0,8082364868.0,8773451739.0,9549077869.0,11451869165.0,13120183157.0,16674324634.0,17339992165.0,19649631308.0,23963033444.0,27084497540.0,30659338929.0,32996187988.0,33000198263.0,33941126194.0,37508642113.0
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569913.0,15236854859.0,19926293839.0,23021477292.0,21211892260.0,21790035117.0,27062716578.0,30591834054.0,33875881876.0,37458898244.0,42327600098.0,49204456700.0,58539008786.0,79279057731.0,105000000000.0,124000000000.0,153000000000.0,176000000000.0,201000000000.0,225000000000.0,235000000000.0,264000000000.0,282000000000.0,203000000000.0,209000000000.0,223000000000.0,268000000000.0,294000000000.0,330000000000.0,426000000000.0,462000000000.0,603000000000.0,401000000000.0,438000000000.0,558000000000.0,769000000000.0,850000000000.0,883000000000.0,864000000000.0,599000000000.0,655000000000.0,559000000000.0,508000000000.0,558000000000.0,669000000000.0,892000000000.0,1110000000000.0,1400000000000.0,1700000000000.0,1670000000000.0,2210000000000.0,2620000000000.0,2470000000000.0,2470000000000.0,2460000000000.0,1800000000000.0,1790000000000.0,2060000000000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,441595558.6,475761121.2,515665506.1,585680637.1,654039198.2,793011830.8,1017805365.0,1120203466.0,1170432058.0,1242716530.0,1354407509.0,1417575550.0,1556321742.0,1713771321.0,1822815594.0,2015731029.0,2023318252.0,2007109829.0,1950900000.0,2046189032.0,2151295182.0,2261969870.0,2411872918.0,2549296475.0,2874459305.0,3012081738.0,3121500000.0,3116650000.0,3169600000.0,3274850000.0,3514350000.0,3897300000.0,4246600000.0,4523750000.0,4607300000.0,4434050000.0,4461650000.0,4660900000.0,4656350000.0,4612500000.0,4608350000.0,4584150000.0,4529050000.0,4796845981.0
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086.0,1168304306.0,1423061357.0,1732721161.0,1941600704.0,2803780006.0,4928824958.0,4366213850.0,4264252336.0,3844723142.0,3782523088.0,3523612563.0,2358592817.0,2754463438.0,2690717551.0,2985467979.0,3520551724.0,3701667053.0,4183548189.0,4105706152.0,4087337960.0,4734020037.0,5115602837.0,5197332974.0,4051147228.0,4600000000.0,6001153306.0,5601090584.0,5843329108.0,6557333085.0,7872333215.0,9531402848.0,11470703002.0,12247694247.0,14393099069.0,10732366286.0,13707370737.0,18525319978.0,19048495519.0,18093829923.0,17098342541.0,12930394938.0,11400653960.0,12128089002.0
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334.0,165585940.6,169264991.2,172217502.0,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019.0,818869145.1,897731524.9,1196091805.0,1258332337.0,1264758198.0,1585472534.0,1820207626.0,1823692110.0,1798333726.0,1944782821.0,2059258653.0,2212638830.0,2511852941.0
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,126957494.4,165258093.9,244129088.0,306033848.4,355172413.8,372010119.6,451603325.4,590376720.6,819877300.6,1060923829.0,1073861599.0,1014907255.0,1172258182.0,1240796365.0,1114764007.0,1392634772.0,1965274882.0,2644536804.0,3083800685.0,3790567052.0,3942792837.0,4146513722.0,4160086253.0,4259330999.0,4730611067.0,4847752843.0,5020214747.0,4790458837.0,5484257417.0,5788329609.0,5489608300.0,5438857107.0,7511582173.0,8957467707.0,9931134941.0,10126940513.0,10939053365.0,10945070442.0,10267133178.0,12786654366.0,15682926896.0,14686278707.0,14915780539.0,16250774267.0,14420551446.0,15648700274.0,17406530781.0
